,RecDroid,ReproBot,AdbGPT,REBL
ActivityDiary-285,❌,❌,156.44,100.34795
Acv-12,215.5,523.9,123.89,52.89356
Aegis-500,❌,❌,❌,93.91885
AIMSICD_816,❌,669,140.71,98.41656
andOTP-135,❌,1269.9,❌,92.05323
andOTP-500,❌,❌,❌,123.72
andOTP-569,❌,265.4,141.76,111.220682
Anglers-log-9,❌,188.5,❌ ,110.865061
Anki-4586,141.7,895.5,78.76,49.358955
Anki-5638,❌,❌,106.73,54.664589
Anki-6432,❌,❌,❌,❌
AntennaPod-3245,2600.3,96.3,63.35,56.32321
Anymemo-18,66.8,395.4,56.02,35.446939
AnyMemo-422,189.4,50.9,131.44,40.695041
AnyMemo-440,1486.3,524,112.64,96.64896
APhotoManager-116,164.7,42.8,❌,29.620807
AsciiCam-17,❌,❌,121.13,94.28017
Birthdroid-13,1188.3,1748.9,68.98,47.240998
Calendula-134,❌,❌,40.86,32.47723
car-report-43,❌,❌,118.96,102.96418
commons-2123,801.3,94,❌,70.710046
Dagger-46,41.3,31.4,31.01,19.987506
FamilyFinance-1,❌,1966.4,122.87,98.24212
FastAdapter-113,❌,❌,❌,84.30748
FastAdapter-394,33.1,271.2,40.78,21.446638
Fastnfitness-142,❌,❌,134.7,125.910594
Fdroidclient-1821,❌,❌,61.74,51.95811
Field-Book-145,❌,826.9,❌,146.851839
Field-Book-146,❌,❌,88.86,82.28498
FirefoxLite-5085,❌,418.4,72.65,66.956143
FlashCards-13,55.2,63.7,71.77,66.376796
K9-3255,234.8,76.5,52.94,41.067087
kiwik-990,❌,537.2,96.24,69.630685
LibreNews-22,197.7,159.8,80.92,69.731229
LibreNews-23,❌,62.1,50.75,45.001792
LibreNews-27,142.5,290.3,❌,80.397116
lrkFM-44,❌,❌,❌,38.920326
markor-1698,❌,416.8,99.12,38.649167
Markor-194,2172.3,824.7,256.73,228.270588
Materialistic-1067,❌,❌,120.07,95.80838
Memento-169,❌,❌,❌,❌
microMathematics-39,❌,72.3,62.34,60.226008
NewsBlur-1053,200.6,260.5,52.11,41.49729
NoadPlayer-1,❌,30.9,39.98,30.209522
notepad-23,114.5,87.6,34.46,26.977839
Obd-reader-22,1540.1,74.8,28.01,107.393635
ODK-1402,83.9,526.8,123.63,53.994217
ODK-1796,❌,❌,❌,86.4
ODK-2075,481.7,36.3,72.89,55.750644
ODK-2086,1026,228.2,77.03,52.886
ODK-2191,772.76,1229.7,195.53,179.124033
ODK-2525,78.6,35.6,30.99,24.482335
ODK-3222,❌ ,❌,109.11,83.622431
ODK-360,❌,❌,❌ ,❌
Olam-1,43,40.7,51.09,30.521768
olam-2,126,❌,53.56,38.658353
Osmeditor-637,❌,❌,❌,❌
PdfViewer-33,❌,❌,182.98,65.810366
QKsms-482,165,42,83.78,54.428
Qksms-585,❌,444,53.95,42.9103
ScreenCam-25,1137.3,958.5,51.47,59.333355
ScreenCam-32,❌,261.5,84.55,38.66545
Soen390-36,❌,❌,❌,89.792125
Sudoku-173,1148.2,1488.7,105.89,87.20576
TimeTracker-10,❌,71.3,71.44,63.754437
TimeTracker-138,❌,❌,❌,57.81216
TimeTracker-35,355.4,40.3,44.84,32.912634
Trainer-7,220,205.3,❌,243.30026
Transistor-149,❌,❌,❌,76.42481
Transistor-63,358.1,40.1,61.93,44.910123
Trickytripper-42,❌,❌,157.09,131.45104
ultrasonic-187,❌,1286.2,88.76,65.53416
Weather-61,70,50.9,88.76,43.293196